,screen_name,link,name,description
71,salic0s,https://twitter.com/salic0s,🏳️‍⚧️💛ConspiracE-boy💛🏳️‍⚧️,✨ Sal/Mulder/Cass | 20 bi ️‍⚧️  | (s)he/hir/hirs or they/them | Part-time cryptid | read my carrd | Comms = open ✨| H: @angayls
72,heresvix,https://twitter.com/heresvix,🌜ḩ̶̷̵̧͈̍̆͌̔̚eresvix🌛,only mildly cursed▪︎Vix▪︎️‍▪︎digital artist▪︎16+ recommended ▪︎Commissions closed: next opening: ?
73,Seokart7,https://twitter.com/Seokart7,✨☀️🐸SE✪K🐸☀️✨(commissios OPEN),"he/they 
non-binary ☀️lv 20☀️
⚡I really love animals  nature and magic⚡
 furry art 
 Venezuelan artist
Pfp: @nineki99"
74,JtingF,https://twitter.com/JtingF,Expensive black cheese,"I make protogen boies. Commissions :Closed 
Very hard to offend and always open to criticism~

Does engineering stuff for fun！ 
中文也OK"
75,SuperSiriusXIII,https://twitter.com/SuperSiriusXIII,Struggle Bug Sirius,✨lvl 28✨  soulbound to @SpazzWesson✨graphic designer artist gamer Pokémon trainer Pandaren Frost Mage & Snep✨they/them✨Avi by: @ZomgDae✨Comms: Open✨
76,XVI_tAWOOer,https://twitter.com/XVI_tAWOOer,✊🏽✊🏾✊🏿 Faust ✊🏿✊🏾✊🏽,"#BlackLivesMatter #ACAB
Samoyed Werewolf
Comms OPEN
TOS: https://t.co/uCa9v9GZyp
25 they/them
Partnered Open
PFP by @anotherbluhusky
Banner by @ellaemufur"
77,Chaiharvest,https://twitter.com/Chaiharvest,Maverick 🌺 BLM | ACAB,Maverick/Hawke | FTM (he/him) | HRT 7/15/20  | Bi | White | 21 | ISFJ | 8/18/12 @fawluhn  | Commissions announced when opened
78,tinydeerguy,https://twitter.com/tinydeerguy,semi-medium little big deer guy,"i draw animal people (furries) and make music and now you have to follow me or i'll kick ur ass
25 | bi | ♂️ 
Open w/@autumndork "
79,cinnamonsp0ts,https://twitter.com/cinnamonsp0ts,★NaL★,Drawin dog!★Partner dog @somedumbdog★Comms open monthly★More info on our website!★NSFW Comic Patreon & Twitter - https://t.co/dz4iCsEyqy | @DoubleDogComics
80,HaruFeng,https://twitter.com/HaruFeng,Haru Feng ✦ COMMISSIONS OPEN, Freelance Artist • Header by @pedroferrer_art • Icon by @blueisalanguage
81,kr00bs,https://twitter.com/kr00bs,♛ қՐ00ცς ♛, Rey. she/they. 26. nby ⚢ .️‍. artist. commissions open via announcement.
82,HerbYeen,https://twitter.com/HerbYeen,🌿 Jhose 🍄 Not open for commissions atm! 🌱,Jhose • digital artist • she • 22 ☕️ Personal acc is @mamawebo1234569 🪴 pfp by @sircaicyo 🤎
83,catlateral_,https://twitter.com/catlateral_,cat from catlateral (comms open),im cat |20| i just really like karkat | she/her | Click my carrd link for commission info!
84,ArtYeen,https://twitter.com/ArtYeen,☕drowsy demon🌿,non binary any pronouns cryptid extraordinaire part-time artist working in animal care ENG/GER commission openings via tweets!
85,BattyTangFang,https://twitter.com/BattyTangFang,🦩dark eyes ≜ bright smile | B L M,1312 BLM \ Comm Openings via twitter Post! \ he/him \ 25 \@smolpinkcat \ Gray-Ace/Aro Masc ️‍⚧️
86,pudge_puddin,https://twitter.com/pudge_puddin,Pudge 🌟,"I paint I sketch and I use color pencil. 
commissions are open just dm me and say hi to get started. "
87,filibusterfrog,https://twitter.com/filibusterfrog,Filibusterfrog,"21 aus All my lore posts are free to use non commercially w/ credit
commissions open bimonthly on patreon
business enquiries contact filibusterfrog@gmail.com"
88,baydews,https://twitter.com/baydews,bay 🌙 @ nier & ffxiv,Lau/Bay • I do the art thing • COMMS: CLOSED • BUSINESS INQ.: OPEN • BLM • O1G
89,o2124o,https://twitter.com/o2124o,Kai | Commissions Open,i like turtles
90,Warcraft,https://twitter.com/Warcraft,World of Warcraft,The Dark Portal reopens June 1st. #WoWClassic #BurningCrusade
